Designator,Mid X,Mid Y,Rotation,Layer
R907,112.5875,-103.5,0.0,top
R908,113.5,-111.0875,90.0,top
R909,133.0,-114.3625,270.0,top
R910,131.0,-110.5875,270.0,top
SW401,92.128,-85.25,180.0,top
U201,97.21,-118.495,0.0,top
U202,106.23,-117.885,0.0,top
U203,54.0,-109.74,90.0,top
U301,66.15,-53.5,0.0,top
U302,119.65,-52.95,0.0,top
U303,130.98,-120.92,0.0,top
U304,54.15,-121.0,0.0,top
U305,82.6375,-81.31,0.0,top
U306,73.1375,-86.185,0.0,top
U307,101.525,-74.095,0.0,top
U308,55.75,-78.565,0.0,top
U309,64.25,-83.025,0.0,top
U310,55.025,-88.635,0.0,top
U311,68.525,-93.095,0.0,top
U401,96.691,-96.784,270.0,top
U403,96.647,-105.293,0.0,top
U501,125.0,-71.0,0.0,top
U505,130.67,-80.125,0.0,top
U601,77.865,-65.595,0.0,top
U701,104.025,-61.595,0.0,top
U801,70.635,-105.975,90.0,top
U901,126.025,-111.135,0.0,top
Y401,101.299,-90.09,180.0,top
