Designator,Footprint,Quantity,Value,LCSC Part #
"C1101, C1102, C1103, C1104, C1105, C401, C402, C405, C408, C409, C410, C501, C502, C503, C506, C507, C512, C601, C605, C611, C701, C703, C706, C801, C803, C806, C901, C903, C906",0603,29,100n,
"C201, C202",0603,2,10u,
"C203, C205, C403, C406",0603,4,4.7u,
C204,0603,1,2.2u,
C206,1812,1,1n,C524544
"C207, C208",0603,2,1u,
"C404, C407, C411, C412",0603,4,20p,
C504,0603,1,10n,
"C603, C607, C702, C704, C802, C804, C902, C904",1206,8,100u,
"C608, C613, C705, C707, C805, C807, C905, C907",0603,8,47p,
"D201, D202, D203, D401, D_PB3, D_RX1, D_TX1",0603,7,LED,
"D301, D302, D303, D304",D_DO-35_SOD27_P7.62mm_Horizontal,4,1N457,
"D601, D701, D801, D901",Osram_DIL2_4.3x4.65mm_P5.08mm,4,BPW34,
"H101, H102, H103, H104",MountingHole_3.8mm,4,MountingHole,
H105,AlbertaSat_Logo_25x20mm,1,Logo,
H106,CTS_Logo_50x25mm,1,Logo,
J101,PinHeader_2x25_P2.00mm_Horizontal,1,LPC-50M2LG,
"J102, J103, J104",Laird_Technologies_BMI-S-101_13.66x12.70mm,3,RFShield_OnePiece,
"J201, J202, J203, J403",PinHeader_1x02_P1.27mm_Vertical,4,Conn_01x02,
J501,SMA_Amphenol_901-143_Horizontal_Modified,1,60611002111501,
"JP101, JP502",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,2,Jumper_3_Bridged12,
"JP201, JP501",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,Jumper_2_Open,
JP301,PinHeader_1x02_P1.27mm_Vertical,1,Jumper_2_Open,
"JP401, JP402",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,2,Jumper_3_Open,
L201,0603,1,6.8uH,
"Q201, Q202",SOT-23,2,AO3420,
"Q203, Q204",SOT-23,2,2N7002,C3290044
Q501,SOT-23,1,BC847,C475630
"Q601, Q701, Q801, Q901",SOT-23,4,MMBF4392LT1G,
R201,1206,1,0.51,C104948
R202,1206,1,0.075,C171394
R203,0603,1,1k,
R204,0603,1,2.2k,
"R205, R408, R409, R513, R612, R618, R707, R710, R807, R810, R907, R910",0603,12,10k,
"R206, R207, R303, R313, R315, R317",0603,6,110k,
"R302, R312, R314, R316",0603,4,11k,
"R304, R306, R308, R310, R601, R602, R701, R702, R801, R802, R901, R902",0603,12,10M,
"R305, R307, R309, R311",0603,4,3.6M,
"R401, R402, R404, R405",0603,4,3.3k,
"R403, R406, R407, R410, R511, R512",0603,6,2k2,
"R411, R605, R703, R803, R903",0603,5,1M,
"R501, R502",0603,2,470,
"R503, R507, R508",0603,3,100k,
"R504, R505, R509, R510",1206,4,10k,
R506,0603,1,22k,
"R607, R704, R804, R904",0603,4,4k7,
"R609, R705, R805, R905",0603,4,2k,
"R611, R617, R706, R709, R806, R809, R906, R909",0603,8,330k,
"R615, R708, R808, R908",0603,4,100R,
SW401,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,SW_Push,
"TP201, TP202, TP302, TP303, TP304",TestPoint_Pad_D1.5mm,5,TestPoint,
"U1101, U1102, U1103, U1104, U1105",MSOP-8_3x3mm_P0.65mm,5,STDS75DS2F,C283289
"U201, U202",TSOT-23-8_HandSoldering,2,LTC4361-2,
U203,Converter_DCDC_Gaptec_0.1S7B_3UP_THT,1,0.1S7B_0512S3UP,
"U301, U302, U303, U304",SOT-23-6_Handsoldering,4,VT03,
U305,TSSOP-14_4.4x5mm_P0.65mm,1,TL974IPWR,
U306,TSSOP-20_4.4x6.5mm_P0.65mm,1,ADG734,
"U308, U309, U310, U311",SOIC-8_3.9x4.9mm_P1.27mm,4,LM334M,C140388
U402,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
U403,U-PDFN-8_6x8mm_P1.27mm,1,MT29F2G01ABAGDWB-IT-G_TR,C410863
U503,DORJI_DRA818V,1,DRA818V,
"U601, U701, U801, U901",SOIC-8_3.9x4.9mm_P1.27mm,4,LM358DR,LM358DR
Y401,Crystal_SMD_HC49-SD,1,8MHz,C2842263
Y402,Crystal_SMD_HC49-SD,1,32.768 kHz,C2975358
