Designator,Mid X,Mid Y,Rotation,Layer
R704,98.126,-59.451597,0.0,top
R705,90.618,-56.129403,180.0,top
R706,104.951,-62.451597,0.0,top
R707,90.618,-51.629403,0.0,top
R708,94.615,-60.4285,90.0,top
R709,105.1295,-52.229,0.0,top
R710,101.5492,-54.229,0.0,top
R801,71.459,-112.0,0.0,top
R802,71.459,-114.0,180.0,top
R803,61.9355,-118.7685,90.0,top
R804,67.3715,-111.9125,90.0,top
R805,63.4355,-118.7685,270.0,top
R806,74.041,-106.4025,90.0,top
R807,60.1335,-111.7365,90.0,top
R808,66.459,-118.5,180.0,top
R809,76.5575,-96.774,0.0,top
R810,70.0875,-101.0,0.0,top
R901,78.7375,-106.4495,270.0,top
R902,77.216,-106.4495,90.0,top
R903,77.1365,-102.8065,90.0,top
R904,90.3205,-108.331,0.0,top
R905,78.6365,-102.8065,270.0,top
R906,96.0628,-109.1692,0.0,top
R907,75.692,-106.4025,90.0,top
R908,86.8445,-102.997,180.0,top
R909,108.435,-106.807,0.0,top
R910,100.584,-103.9095,270.0,top
SW1001,91.821,-81.28,0.0,top
SW401,91.8175,-85.758,180.0,top
U1001,76.976,-65.165,0.0,top
U1002,85.048,-63.119,180.0,top
U1101,62.484,-63.754,90.0,top
U1102,113.6845,-61.351,0.0,top
U1103,59.309,-119.38,270.0,top
U1104,108.7628,-114.554,90.0,top
U1105,78.5665,-94.163,0.0,top
U201,90.162,-115.1445,0.0,top
U202,98.469,-115.0425,0.0,top
U203,53.102,-108.2385,90.0,top
U301,56.007,-60.96,0.0,top
U302,117.321,-54.31,0.0,top
U303,114.1735,-107.823,0.0,top
U304,54.229,-117.856,0.0,top
U305,82.6375,-81.31,0.0,top
U306,73.1375,-86.185,0.0,top
U308,55.75,-78.565,0.0,top
U309,63.754,-82.931,0.0,top
U310,55.025,-87.823,0.0,top
U311,68.525,-93.095,0.0,top
U401,96.012,-96.784,270.0,top
U403,84.201,-99.06,0.0,top
U502,95.8165,-69.655,0.0,top
U503,115.0275,-84.076,270.0,top
U601,79.9,-55.388,0.0,top
U701,103.697,-58.586597,0.0,top
U801,66.5065,-105.975,90.0,top
U901,95.947,-105.664,0.0,top
